2026/08/04 11:49:02.774, 1, 0
2026/08/04 11:49:03.783, 1, 0
2026/08/04 11:49:04.785, 1, 0
2026/08/04 11:49:05.786, 1, 0
2026/08/04 11:49:06.787, 1, 0
2026/08/04 11:49:07.789, 4, 0
2026/08/04 11:49:08.790, 4, 0
2026/08/04 11:49:09.792, 4, 0
2026/08/04 11:49:10.793, 4, 0
2026/08/04 11:49:11.795, 4, 0
2026/08/04 11:49:12.797, 4, 0
2026/08/04 11:49:13.798, 4, 0
2026/08/04 11:49:14.800, 4, 0
2026/08/04 11:49:15.801, 4, 0
2026/08/04 11:49:16.803, 4, 0
2026/08/04 11:49:17.804, 4, 0
2026/08/04 11:49:18.806, 4, 0
2026/08/04 11:49:19.807, 4, 0
2026/08/04 11:49:20.809, 1306, 0
2026/08/04 11:49:21.810, 2212, 27
2026/08/04 11:49:22.812, 3198, 29
2026/08/04 11:49:23.813, 4184, 26
2026/08/04 11:49:24.815, 5698, 7
2026/08/04 11:49:25.816, 5880, 0
2026/08/04 11:49:26.817, 6794, 0
2026/08/04 11:49:27.819, 8392, 94
2026/08/04 11:49:28.820, 8476, 100
2026/08/04 11:49:29.821, 8640, 100
2026/08/04 11:49:30.823, 8640, 100
2026/08/04 11:49:31.824, 8640, 100
2026/08/04 11:49:32.826, 8640, 93
2026/08/04 11:49:33.827, 11160, 100
2026/08/04 11:49:34.828, 11160, 100
2026/08/04 11:49:35.830, 11162, 100
2026/08/04 11:49:36.831, 11162, 85
2026/08/04 11:49:37.833, 11164, 92
2026/08/04 11:49:38.834, 11164, 100
2026/08/04 11:49:39.837, 11164, 100
2026/08/04 11:49:40.840, 11164, 100
2026/08/04 11:49:41.844, 11164, 100
2026/08/04 11:49:42.848, 11164, 100
2026/08/04 11:49:43.851, 11164, 100
2026/08/04 11:49:44.855, 11164, 100
2026/08/04 11:49:45.857, 11164, 100
2026/08/04 11:49:46.860, 14074, 100
2026/08/04 11:49:47.862, 14074, 100
2026/08/04 11:49:48.865, 14074, 100
2026/08/04 11:49:49.868, 14074, 100
2026/08/04 11:49:50.871, 14074, 100
2026/08/04 11:49:51.873, 17530, 100
2026/08/04 11:49:52.876, 17530, 100
2026/08/04 11:49:53.878, 17530, 100
2026/08/04 11:49:54.880, 17530, 100
2026/08/04 11:49:55.883, 17530, 100
2026/08/04 11:49:56.885, 17530, 100
2026/08/04 11:49:57.888, 17530, 100
2026/08/04 11:49:58.890, 17530, 100
2026/08/04 11:49:59.893, 17530, 84
2026/08/04 11:50:00.895, 17530, 100
2026/08/04 11:50:01.897, 17530, 100
2026/08/04 11:50:02.899, 17530, 100
2026/08/04 11:50:03.902, 17530, 100
2026/08/04 11:50:04.904, 17530, 100
2026/08/04 11:50:05.907, 17530, 100
2026/08/04 11:50:06.909, 17530, 100
2026/08/04 11:50:07.912, 17530, 100
2026/08/04 11:50:08.914, 17530, 100
2026/08/04 11:50:09.917, 17530, 100
2026/08/04 11:50:10.919, 17530, 100
2026/08/04 11:50:11.921, 17530, 100
2026/08/04 11:50:12.924, 17530, 100
2026/08/04 11:50:13.926, 17530, 100
2026/08/04 11:50:14.929, 17530, 100
2026/08/04 11:50:15.931, 17530, 80
2026/08/04 11:50:16.932, 17530, 100
2026/08/04 11:50:17.934, 17530, 100
2026/08/04 11:50:18.935, 17530, 100
2026/08/04 11:50:19.936, 17530, 100
2026/08/04 11:50:20.938, 17530, 100
2026/08/04 11:50:21.939, 17530, 100
2026/08/04 11:50:22.940, 17530, 100
2026/08/04 11:50:23.941, 17530, 100
2026/08/04 11:50:24.943, 17530, 100
2026/08/04 11:50:25.944, 17530, 100
2026/08/04 11:50:26.946, 17530, 100
2026/08/04 11:50:27.947, 17530, 95
2026/08/04 11:50:28.948, 17530, 100
2026/08/04 11:50:29.950, 17530, 100
2026/08/04 11:50:30.951, 17530, 75
2026/08/04 11:50:31.953, 17530, 99
2026/08/04 11:50:32.954, 17530, 100
2026/08/04 11:50:33.955, 17530, 100
2026/08/04 11:50:34.959, 17530, 100
2026/08/04 11:50:35.960, 17530, 100
2026/08/04 11:50:36.962, 17530, 100
