sample_id,language,text,character_count,word_count,tokenizer,target_vocab_size,actual_vocab_size,token_count,token_ids,pieces,unknown_count,decoded,roundtrip_equal,tokens_per_character,tokens_per_whitespace_word
zh_common,Chinese,自然语言处理需要稳定而可复现的分词实验。,20,1,ByteLevel BPE,800,800,35,"[323, 795, 227, 115, 642, 664, 326, 223, 165, 787, 164, 102, 112, 290, 249, 165, 223, 235, 289, 108, 314, 236, 292, 109, 164, 249, 227, 586, 641, 290, 253, 166, 104, 235, 265]","[""èĩ"", ""ªç"", ""Ħ"", ""¶"", ""è¯Ńè¨Ģ"", ""å¤ĦçĲĨ"", ""éľ"", ""Ģ"", ""è"", ""¦ģ"", ""ç"", ""¨"", ""³"", ""å®"", ""ļ"", ""è"", ""Ģ"", ""Į"", ""åı"", ""¯"", ""å¤"", ""į"", ""çİ"", ""°"", ""ç"", ""ļ"", ""Ħ"", ""åĪĨ"", ""è¯į"", ""å®"", ""ŀ"", ""é"", ""ª"", ""Į"", ""ãĢĤ""]",0,自然语言处理需要稳定而可复现的分词实验。,True,1.75,35.0
zh_common,Chinese,自然语言处理需要稳定而可复现的分词实验。,20,1,SentencePiece Unigram,800,800,39,"[257, 408, 406, 260, 650, 656, 651, 471, 468, 232, 169, 180, 230, 175, 155, 233, 129, 141, 230, 144, 176, 230, 165, 142, 232, 143, 177, 232, 155, 133, 320, 360, 230, 175, 159, 234, 171, 141, 258]","[""▁"", ""自"", ""然"", ""语"", ""言"", ""处"", ""理"", ""需"", ""要"", ""<0xE7>"", ""<0xA8>"", ""<0xB3>"", ""<0xE5>"", ""<0xAE>"", ""<0x9A>"", ""<0xE8>"", ""<0x80>"", ""<0x8C>"", ""<0xE5>"", ""<0x8F>"", ""<0xAF>"", ""<0xE5>"", ""<0xA4>"", ""<0x8D>"", ""<0xE7>"", ""<0x8E>"", ""<0xB0>"", ""<0xE7>"", ""<0x9A>"", ""<0x84>"", ""分"", ""词"", ""<0xE5>"", ""<0xAE>"", ""<0x9E>"", ""<0xE9>"", ""<0xAA>"", ""<0x8C>"", ""。""]",0,自然语言处理需要稳定而可复现的分词实验。,True,1.95,39.0
zh_rare,Chinese,罕见字符𠮷和𩸽也应该能够往返解码。,17,1,ByteLevel BPE,800,800,38,"[351, 244, 580, 224, 353, 164, 106, 100, 173, 255, 355, 162, 241, 235, 173, 793, 122, 341, 254, 162, 119, 243, 266, 99, 165, 226, 122, 314, 254, 510, 368, 243, 580, 97, 164, 255, 224, 265]","[""ç½"", ""ķ"", ""è§"", ""ģ"", ""åŃĹ"", ""ç"", ""¬"", ""¦"", ""ð"", ""ł"", ""®·"", ""å"", ""Ĵ"", ""Į"", ""ð"", ""©¸"", ""½"", ""ä¹"", ""Ł"", ""å"", ""º"", ""Ķ"", ""è¯"", ""¥"", ""è"", ""ĥ"", ""½"", ""å¤"", ""Ł"", ""å¾Ģ"", ""è¿"", ""Ķ"", ""è§"", ""£"", ""ç"", ""ł"", ""ģ"", ""ãĢĤ""]",0,罕见字符𠮷和𩸽也应该能够往返解码。,True,2.235294117647059,38.0
zh_rare,Chinese,罕见字符𠮷和𩸽也应该能够往返解码。,17,1,SentencePiece Unigram,800,800,36,"[257, 453, 469, 279, 467, 461, 230, 147, 141, 462, 229, 186, 160, 230, 187, 149, 233, 176, 166, 233, 132, 190, 230, 165, 160, 736, 233, 192, 149, 233, 168, 164, 232, 161, 130, 258]","[""▁"", ""罕"", ""见"", ""字"", ""符"", ""𠮷"", ""<0xE5>"", ""<0x92>"", ""<0x8C>"", ""𩸽"", ""<0xE4>"", ""<0xB9>"", ""<0x9F>"", ""<0xE5>"", ""<0xBA>"", ""<0x94>"", ""<0xE8>"", ""<0xAF>"", ""<0xA5>"", ""<0xE8>"", ""<0x83>"", ""<0xBD>"", ""<0xE5>"", ""<0xA4>"", ""<0x9F>"", ""往"", ""<0xE8>"", ""<0xBF>"", ""<0x94>"", ""<0xE8>"", ""<0xA7>"", ""<0xA3>"", ""<0xE7>"", ""<0xA0>"", ""<0x81>"", ""。""]",0,罕见字符𠮷和𩸽也应该能够往返解码。,True,2.1176470588235294,36.0
en,English,Tokenizers trade vocabulary size against sequence length.,57,7,ByteLevel BPE,800,800,38,"[52, 79, 561, 572, 649, 357, 82, 65, 544, 301, 79, 67, 65, 66, 85, 76, 295, 89, 404, 572, 69, 563, 71, 727, 83, 84, 404, 69, 81, 85, 342, 569, 221, 76, 342, 71, 386, 14]","[""T"", ""o"", ""ken"", ""iz"", ""ers"", ""Ġt"", ""r"", ""a"", ""de"", ""Ġv"", ""o"", ""c"", ""a"", ""b"", ""u"", ""l"", ""ar"", ""y"", ""Ġs"", ""iz"", ""e"", ""Ġa"", ""g"", ""ain"", ""s"", ""t"", ""Ġs"", ""e"", ""q"", ""u"", ""en"", ""ce"", ""Ġ"", ""l"", ""en"", ""g"", ""th"", "".""]",0,Tokenizers trade vocabulary size against sequence length.,True,0.6666666666666666,5.428571428571429
en,English,Tokenizers trade vocabulary size against sequence length.,57,7,SentencePiece Unigram,800,800,46,"[257, 339, 333, 413, 369, 273, 318, 345, 257, 342, 321, 257, 793, 333, 282, 259, 327, 287, 289, 259, 794, 334, 257, 272, 273, 318, 271, 257, 259, 296, 259, 292, 272, 275, 257, 272, 271, 114, 287, 369, 373, 257, 489, 309, 363, 276]","[""▁"", ""T"", ""o"", ""k"", ""en"", ""i"", ""z"", ""ers"", ""▁"", ""tra"", ""de"", ""▁"", ""v"", ""o"", ""c"", ""a"", ""b"", ""u"", ""l"", ""a"", ""r"", ""y"", ""▁"", ""s"", ""i"", ""z"", ""e"", ""▁"", ""a"", ""g"", ""a"", ""in"", ""s"", ""t"", ""▁"", ""s"", ""e"", ""<0x71>"", ""u"", ""en"", ""ce"", ""▁"", ""le"", ""ng"", ""th"", "".""]",0,Tokenizers trade vocabulary size against sequence length.,True,0.8070175438596491,6.571428571428571
mixed,Mixed,Qwen2.5 使用 tokenizer 处理 version-7B 与中文。,39,6,ByteLevel BPE,800,800,29,"[722, 342, 18, 14, 21, 221, 296, 124, 164, 243, 102, 593, 594, 633, 229, 301, 649, 73, 760, 13, 23, 34, 221, 259, 237, 259, 256, 345, 265]","[""Qw"", ""en"", ""2"", ""."", ""5"", ""Ġ"", ""ä½"", ""¿"", ""ç"", ""Ķ"", ""¨"", ""Ġtokenizer"", ""Ġå¤"", ""ĦçĲ"", ""Ĩ"", ""Ġv"", ""ers"", ""i"", ""on"", ""-"", ""7"", ""B"", ""Ġ"", ""ä¸"", ""İ"", ""ä¸"", ""Ń"", ""æĸĩ"", ""ãĢĤ""]",0,Qwen2.5 使用 tokenizer 处理 version-7B 与中文。,True,0.7435897435897436,4.833333333333333
mixed,Mixed,Qwen2.5 使用 tokenizer 处理 version-7B 与中文。,39,6,SentencePiece Unigram,800,800,33,"[257, 419, 313, 369, 366, 257, 229, 190, 192, 232, 149, 169, 299, 273, 318, 271, 794, 257, 656, 651, 257, 793, 345, 273, 333, 286, 377, 344, 257, 798, 475, 281, 258]","[""▁"", ""Q"", ""w"", ""en"", ""2.5"", ""▁"", ""<0xE4>"", ""<0xBD>"", ""<0xBF>"", ""<0xE7>"", ""<0x94>"", ""<0xA8>"", ""▁token"", ""i"", ""z"", ""e"", ""r"", ""▁"", ""处"", ""理"", ""▁"", ""v"", ""ers"", ""i"", ""o"", ""n"", ""-7"", ""B"", ""▁"", ""与"", ""中"", ""文"", ""。""]",0,Qwen2.5 使用 tokenizer 处理 version-7B 与中文。,True,0.8461538461538461,5.5
